EmpID,Age,AgeGroup,Attrition,BusinessTravel,Department,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyIncome2,SalarySlab,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
RM1210,60,55+,No,Travel_Rarely,Research & Development,4,Medical,3,Male,1,Healthcare Representative,4,Divorced," 10,883","? 10,883",10k-15k,3,No,20,4,19,2,4,1,0,0,0
RM412,60,55+,No,Travel_Rarely,Research & Development,3,Life Sciences,1,Female,3,Manager,1,Married," 19,566","? 19,566",15k+,5,No,11,3,33,5,1,29,8,11,10
RM428,60,55+,No,Travel_Frequently,Sales,3,Marketing,3,Female,2,Sales Executive,1,Married," 10,266","? 10,266",10k-15k,4,No,19,3,22,5,4,18,13,13,11
RM537,60,55+,No,Travel_Rarely,Sales,4,Marketing,1,Male,3,Sales Executive,1,Single," 5,405","? 5,405",5k-10k,8,No,14,3,10,1,3,2,2,2,2
RM880,60,55+,No,Travel_Rarely,Sales,4,Marketing,2,Male,4,Sales Executive,4,Divorced," 5,220","? 5,220",5k-10k,0,Yes,18,3,12,3,3,11,7,1,9
RM007,59,55+,No,Travel_Rarely,Research & Development,3,Medical,3,Female,4,Laboratory Technician,1,Married," 2,670","? 2,670",Upto 5k,4,Yes,20,4,12,3,2,1,0,0,
RM064,59,55+,No,Travel_Rarely,Sales,3,Life Sciences,1,Female,3,Sales Executive,1,Single," 7,637","? 7,637",5k-10k,7,No,11,3,28,3,2,21,16,7,9
RM071,59,55+,No,Travel_Frequently,Sales,1,Life Sciences,1,Female,2,Sales Executive,3,Single," 5,473","? 5,473",5k-10k,7,No,11,3,20,2,2,4,3,1,
RM106,59,55+,No,Non-Travel,Human Resources,4,Human Resources,3,Female,2,Manager,4,Married," 18,844","? 18,844",15k+,9,No,21,4,30,3,3,3,2,2,2
RM226,59,55+,No,Travel_Rarely,Research & Development,3,Life Sciences,3,Male,2,Research Scientist,4,Married," 2,177","? 2,177",Upto 5k,3,No,17,3,7,6,3,1,0,0,0
RM233,59,55+,No,Travel_Rarely,Human Resources,2,Medical,2,Male,3,Human Resources,3,Married," 2,267","? 2,267",Upto 5k,8,No,17,3,7,2,2,2,2,2,2
RM744,59,55+,No,Travel_Rarely,Research & Development,3,Life Sciences,3,Female,2,Manufacturing Director,4,Single," 13,726","? 13,726",10k-15k,3,Yes,13,3,30,4,3,5,3,4,3
RM759,59,55+,No,Travel_Rarely,Sales,2,Technical Degree,2,Male,3,Manager,4,Married," 11,904","? 11,904",10k-15k,3,Yes,14,3,14,1,1,6,4,0,4
RM898,59,55+,No,Travel_Rarely,Sales,3,Life Sciences,3,Female,2,Sales Executive,4,Single," 5,171","? 5,171",5k-10k,5,No,17,3,13,2,3,6,1,0,5
RM920,59,55+,No,Travel_Rarely,Research & Development,4,Medical,4,Male,3,Manufacturing Director,4,Single," 10,512","? 10,512",10k-15k,6,No,12,3,25,6,2,9,7,5,4
RM099,58,55+,No,Travel_Rarely,Sales,4,Medical,4,Male,3,Sales Executive,3,Single," 13,872","? 13,872",10k-15k,0,No,13,3,38,1,2,37,10,1,8
RM1010,58,55+,No,Travel_Rarely,Research & Development,3,Medical,4,Female,3,Research Director,1,Married," 19,701","? 19,701",15k+,3,Yes,21,4,32,3,3,9,8,1,5
RM1302,58,55+,No,Non-Travel,Sales,3,Medical,2,Male,3,Manager,2,Divorced," 16,291","? 16,291",15k+,4,No,22,4,37,0,2,16,9,14,14
RM1311,58,55+,No,Travel_Frequently,Research & Development,4,Life Sciences,1,Male,3,Research Director,3,Married," 15,787","? 15,787",15k+,2,Yes,14,3,23,3,3,2,2,2,2
RM1375,58,55+,No,Travel_Rarely,Sales,3,Life Sciences,4,Female,3,Manager,4,Married," 17,875","? 17,875",15k+,4,Yes,13,3,29,2,2,1,0,0,0
RM158,58,55+,No,Travel_Rarely,Research & Development,3,Medical,2,Female,2,Research Scientist,2,Married," 3,346","? 3,346",Upto 5k,4,Yes,20,4,9,3,2,1,0,0,0
RM309,58,55+,No,Non-Travel,Research & Development,4,Life Sciences,4,Male,1,Healthcare Representative,3,Divorced," 5,660","? 5,660",5k-10k,2,Yes,13,3,12,2,3,5,3,1,2
RM675,58,55+,No,Travel_Rarely,Research & Development,3,Technical Degree,3,Female,2,Healthcare Representative,2,Divorced," 10,552","? 10,552",10k-15k,2,Yes,13,3,24,3,3,6,0,0,4
RM939,58,55+,No,Travel_Rarely,Research & Development,4,Life Sciences,1,Male,3,Research Scientist,3,Divorced," 2,372","? 2,372",Upto 5k,1,No,12,3,2,3,3,2,2,2,2
RM127,58,55+,Yes,Travel_Rarely,Research & Development,4,Medical,4,Female,3,Healthcare Representative,4,Married," 10,312","? 10,312",10k-15k,1,No,12,3,40,3,2,40,10,15,6
RM596,58,55+,Yes,Travel_Rarely,Research & Development,4,Life Sciences,4,Male,3,Research Director,2,Single," 19,246","? 19,246",15k+,7,Yes,12,3,40,2,3,31,15,13,8
RM661,58,55+,Yes,Travel_Frequently,Research & Development,1,Life Sciences,4,Male,2,Laboratory Technician,4,Divorced," 2,380","? 2,380",Upto 5k,9,Yes,14,3,3,3,2,1,0,0,0
